page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  11    77 image     195   171  icc     3   8  jpx    no       195  0   200   201 7819B 7.8%
  11    78 image     195   171  icc     3   8  jpx    no       195  0   200   201 7819B 7.8%
  11    79 image     222   170  icc     3   8  jpx    no       197  0   201   200 7080B 6.3%
  11    80 image     209   162  icc     3   8  jpx    no       199  0   200   201 7335B 7.2%
  11    81 image     212   152  icc     3   8  jpx    no       201  0   200   200 7074B 7.3%
  11    82 image     219   158  icc     3   8  jpx    no       203  0   200   200 7085B 6.8%
  12    83 image     213   150  icc     3   8  jpx    no       214  0   200   201 7964B 8.3%
  12    84 smask     213   150  gray    1   8  jpx    no       214  0   200   201  318B 1.0%
  12    85 image     212   151  icc     3   8  jpx    no       216  0   200   200 6542B 6.8%
  12    86 image     206   159  icc     3   8  jpx    no       218  0   201   200 7462B 7.6%
  12    87 image     195   150  index   1   8  image  no       220  0   201   201 10.0K  35%
  12    88 image     194   164  index   1   8  image  no       222  0   200   200 7168B  23%
  12    89 image     205   151  icc     3   8  jpx    no       224  0   201   201 7414B 8.0%
  12    90 image     199   151  index   1   8  image  no       226  0   201   200 10.1K  34%
  12    91 image     181   154  index   1   8  image  no       228  0   201   201 7204B  26%
  12    92 image     222   155  icc     3   8  jpx    no       230  0   201   201 7529B 7.3%
  12    93 image     198   151  icc     3   8  jpx    no       232  0   201   200 7359B 8.2%
  13    94 image     209   163  icc     3   8  jpx    no       237  0   200   201 7279B 7.1%
  13    95 image     182   223  icc     3   8  jpx    no       239  0   201   200 7769B 6.4%
  13    96 image      99   251  icc     3   8  jpx    no       243  0   202   200 8945B  12%
  13    97 smask      99   251  gray    1   8  jpx    no       243  0   202   200 6126B  25%
  13    98 image     107   188  icc     3   8  jpx    no       247  0   202   200 8538B  14%
  13    99 smask     107   188  gray    1   8  jpx    no       247  0   202   200 5747B  29%
  13   100 image     114   207  icc     3   8  jpx    no       251  0   200   200 7574B  11%
  13   101 smask     114   207  gray    1   8  jpx    no       251  0   200   200 3808B  16%
  13   102 image      95   133  icc     3   8  jpx    no       253  0   201   201 6812B  18%
  13   103 image     137   298  icc     3   8  jpx    no       255  0   200   200 7472B 6.1%
  14   104 image    1659  2345  icc     3   8  jpx    no       270  0   200   200  269K 2.4%
  15   105 image     118   151  icc     3   8  jpx    no       275  0   200   201 6228B  12%
  15   106 image      84   135  icc     3   8  jpx    no       277  0   201   201 6468B  19%
  15   107 image     132   145  icc     3   8  jpx    no       281  0   200   201 6705B  12%
  15   108 image     161   128  icc     3   8  jpx    no       283  0   201   201 7391B  12%
  15   109 image     121   146  icc     3   8  jpx    no       287  0   200   200 6617B  12%
  15   110 smask     121   146  gray    1   8  jpx    no       287  0   200   200  317B 1.8%
  15   111 image      81   130  icc     3   8  jpx    no       291  0   200   202 6184B  20%
  15   112 smask      81   130  gray    1   8  jpx    no       291  0   200   202 1709B  16%
  15   113 image     191   131  icc     3   8  jpx    no       295  0   201   201 7658B  10%
  15   114 smask     191   131  gray    1   8  jpx    no       295  0   201   201  318B 1.3%
  15   115 image     173   165  icc     3   8  jpx    no       297  0   200   201 6866B 8.0%
  15   116 image     184    98  icc     3   8  jpx    no       299  0   200   201 6845B  13%
  15   117 image     150    98  icc     3   8  jpx    no       303  0   200   201 6702B  15%
  15   118 smask     150    98  gray    1   8  jpx    no       303  0   200   201 2731B  19%
  15   119 image      16  2345  icc     3   8  jpx    no       279  0   207   200 9731B 8.6%
